artistName,trackName,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,genres
Nova Norda,Sarhossun Dunya - Akustik,0,0,448,0,0,0,0,0,0,0,0,0,None
Nova Norda,Varim,0,905,385184,0,141113,0,0,0,0,0,0,0,None
Nova Norda,Yuregim Ellerinde,0,0,0,0,15965,0,0,0,0,0,0,0,None
Nova Norda,benzin - akustik,0,0,0,0,0,0,0,0,102194,0,0,0,None
NumbrXII,Protect The Family,0,0,0,0,0,0,139250,0,0,0,0,0,None
Nurhan Damcioglu,Ben Kalender Mesrebim,0,0,0,0,0,0,0,0,9813,0,0,0,None
Nurhan Damcioglu,Dingala,0,0,0,0,0,0,0,0,5162,0,0,0,None
Nxdia,OUCH!,0,0,0,0,0,0,127036,0,0,0,0,0,None
Nyle Downs,Vervlogen,0,0,0,0,116117,0,0,0,0,0,0,0,None
O Grilo,Heroi do Futuro,0,1695,0,0,1137,0,0,0,0,0,0,0,musica triste brasileira
O Grilo,Sambinha,0,82834,0,0,0,181567,0,182399,14431,0,0,917,musica triste brasileira
O Grilo,Serenata Existencialista,1194,0,0,0,9612,238360,0,0,119879,0,9151,0,musica triste brasileira
O Grilo,Trela,0,0,187482,149110,0,1386,0,1343,0,0,0,0,musica triste brasileira
ODIE,In My Head,0,0,0,0,0,345931,0,0,0,1258,0,0,None
ODIE,Little Lies,220007,0,0,0,0,440014,0,0,0,0,0,0,None
ODIE,Miss Summer,3882,0,0,0,0,1718,0,0,0,0,0,0,None
ODIE,Night Terrific! (feat. Yaqob),0,0,0,0,0,0,0,597,0,0,0,0,None
ODIE,Noise,184220,0,0,0,0,1285246,254470,0,0,0,0,0,canadian contemporary r&b
ODIE,North Face,196799,0,0,0,0,395278,2581,197502,1194,0,0,812247,canadian contemporary r&b
